,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
2129,CALLE                   ,DEL   ,ALCALDE LOPEZ CASERO                            ,19200,15.0,CALLE DEL ALCALDE LÓPEZ CASERO                                 
2130,CALLE                   ,DEL   ,ALCALDE LUIS SILVELA                            ,19210,20.0,CALLE DEL ALCALDE LUIS SILVELA                                 
2131,CALLE                   ,DEL   ,ALCALDE MARTIN DE ALZAGA                        ,19250,9.0,CALLE DEL ALCALDE MARTÍN DE ALZAGA                             
2132,CALLE                   ,DEL   ,ALCALDE SAINZ DE BARANDA                        ,19300,3.0,CALLE DEL ALCALDE SAINZ DE BARANDA                             
2133,CALLE                   ,DE LA ,ALCANCIA                                        ,19301,9.0,CALLE DE LA ALCANCÍA                                           
2134,CALLE                   ,DE    ,ALCANTARA                                       ,19400,4.0,CALLE DE ALCÁNTARA                                             
2135,CALLE                   ,DE    ,ALCAÑICES                                       ,19500,20.0,CALLE DE ALCAÑICES                                             
2136,CALLE                   ,DE    ,ALCAÑIZ                                         ,19600,21.0,CALLE DE ALCAÑIZ                                               
2137,CALLE                   ,DEL   ,ALCARAVAN                                       ,19700,10.0,CALLE DEL ALCARAVÁN                                            
2138,CALLE                   ,DE    ,ALCARAZ                                         ,19800,16.0,CALLE DE ALCARAZ                                               
2139,CALLE                   ,DE LA ,ALCARRIA                                        ,19900,17.0,CALLE DE LA ALCARRIA                                           
2140,CALLE                   ,DEL   ,ALCATRAZ                                        ,20000,11.0,CALLE DEL ALCATRAZ                                             
2141,PLAZA                   ,DE    ,ALCAUDETE                                       ,20100,16.0,PLAZA DE ALCAUDETE                                             
2142,CALLE                   ,DEL   ,ALCAUDON                                        ,20200,11.0,CALLE DEL ALCAUDÓN                                             
2143,CALLE                   ,DE LA ,ALCAZABA                                        ,20250,12.0,CALLE DE LA ALCAZABA                                           
2144,CALLE                   ,DE    ,ALCAZAR DE SAN JUAN                             ,20300,10.0,CALLE DE ALCÁZAR DE SAN JUAN                                   
2145,PLAZA                   ,DE    ,ALCIRA                                          ,20400,9.0,PLAZA DE ALCIRA                                                
2146,CAMINO                  ,DE    ,ALCOBENDAS                                      ,20450,8.0,CAMINO DE ALCOBENDAS                                           
2147,CALLE                   ,DE    ,ALCOBENDAS                                      ,20500,16.0,CALLE DE ALCOBENDAS                                            
2148,CARRETERA               ,DE    ,ALCOBENDAS A BARAJAS                            ,20700,21.0,CARRETERA DE ALCOBENDAS A BARAJAS                              
2149,CALLE                   ,DE    ,ALCOCER                                         ,20800,17.0,CALLE DE ALCOCER                                               
2150,CALLE                   ,DE    ,ALCOLEA                                         ,20900,6.0,CALLE DE ALCOLEA                                               
2151,CALLE                   ,DE    ,ALCONERA                                        ,21000,20.0,CALLE DE ALCONERA                                              
2152,CALLE                   ,DE    ,ALCORES                                         ,21200,13.0,CALLE DE ALCORES                                               
2153,CALLE                   ,DE    ,ALCORISA                                        ,21250,16.0,CALLE DE ALCORISA                                              
2154,CALLE                   ,DE    ,ALDAPA                                          ,21800,11.0,CALLE DE ALDAPA                                                
2155,CALLE                   ,DE    ,ALDAYA                                          ,21900,16.0,CALLE DE ALDAYA                                                
2156,CALLE                   ,DE    ,ALDEA DEL FRESNO                                ,22000,2.0,CALLE DE ALDEA DEL FRESNO                                      
2157,CALLE                   ,DE    ,ALDEANUEVA DE LA VERA                           ,22250,10.0,CALLE DE ALDEANUEVA DE LA VERA                                 
2158,CALLE                   ,DE    ,ALDEBARAN                                       ,22300,9.0,CALLE DE ALDEBARÁN                                             
2159,CALLE                   ,DE LA ,ALEGRIA                                         ,22500,11.0,CALLE DE LA ALEGRÍA                                            
2160,BARRIO                  ,DE LA ,ALEGRIA                                         ,22600,15.0,BARRIO DE LA ALEGRÍA                                           
2161,CALLE                   ,DE    ,ALEGRIA DE ORIA                                 ,22800,20.0,CALLE DE ALEGRÍA DE ORIA                                       
2162,CALLE                   ,DE    ,ALEIXANDRE                                      ,22900,15.0,CALLE DE ALEIXANDRE                                            
2163,CALLE                   ,DE    ,ALEJANDRINA MORAN                               ,23100,10.0,CALLE DE ALEJANDRINA MORÁN                                     
2164,CALLE                   ,DE    ,ALEJANDRO CASONA                                ,23150,8.0,CALLE DE ALEJANDRO CASONA                                      
2165,CALLE                   ,DE    ,ALEJANDRO CHACON                                ,23200,15.0,CALLE DE ALEJANDRO CHACÓN                                      
2166,CALLE                   ,DE    ,ALEJANDRO DUMAS                                 ,23300,2.0,CALLE DE ALEJANDRO DUMAS                                       
2167,CALLE                   ,DE    ,ALEJANDRO FERRANT                               ,23400,2.0,CALLE DE ALEJANDRO FERRANT                                     
2168,CALLE                   ,DE    ,ALEJANDRO GONZALEZ                              ,23600,4.0,CALLE DE ALEJANDRO GONZÁLEZ                                    
2169,CALLE                   ,DE    ,ALEJANDRO MORAN                                 ,23700,11.0,CALLE DE ALEJANDRO MORÁN                                       
2170,CALLE                   ,DE    ,ALEJANDRO RODRIGUEZ                             ,23900,6.0,CALLE DE ALEJANDRO RODRÍGUEZ                                   
2171,CALLE                   ,DE    ,ALEJANDRO SAINT AUBIN                           ,24000,2.0,CALLE DE ALEJANDRO SAINT AUBIN                                 
2172,CALLE                   ,DE    ,ALEJANDRO SANCHEZ                               ,24200,11.0,CALLE DE ALEJANDRO SÁNCHEZ                                     
2173,TRAVESIA                ,DE    ,ALEJANDRO SANCHEZ                               ,24300,11.0,TRAVESÍA DE ALEJANDRO SÁNCHEZ                                  
2174,CALLE                   ,DE    ,ALEJANDRO VILLEGAS                              ,24400,16.0,CALLE DE ALEJANDRO VILLEGAS                                    
2175,CALLE                   ,DE    ,ALHENA                                          ,24450,9.0,CALLE DE ALHENA                                                
2176,CALLE                   ,DE    ,ALEMANIA                                        ,24500,6.0,CALLE DE ALEMANIA                                              
2177,CALLE                   ,DE    ,ALENZA                                          ,24600,7.0,CALLE DE ALENZA                                                
2178,CALLE                   ,DE    ,ALESANCO                                        ,24700,9.0,CALLE DE ALESANCO                                              
2179,CALLE                   ,DE    ,ALFACAR                                         ,24900,16.0,CALLE DE ALFACAR                                               
2180,CALLE                   ,DE LA ,ALFALFA                                         ,25100,6.0,CALLE DE LA ALFALFA                                            
2181,CALLE                   ,DE    ,ALFAMBRA                                        ,25200,5.0,CALLE DE ALFAMBRA                                              
2182,CALLE                   ,DEL   ,ALFAR                                           ,25400,9.0,CALLE DEL ALFAR                                                
2183,CALLE                   ,DE    ,ESTEBAN DE ARTEAGA                              ,25410,11.0,CALLE DE ESTEBAN DE ARTEAGA                                    
2184,CALLE                   ,DE LOS,ALFAREROS                                       ,25600,20.0,CALLE DE LOS ALFAREROS                                         
2185,CALLE                   ,DE    ,ALFARNATE                                       ,25650,13.0,CALLE DE ALFARNATE                                             
2186,CALLE                   ,DE    ,ALFARO                                          ,25700,11.0,CALLE DE ALFARO                                                
2187,CALLE                   ,DEL   ,ALFEREZ JUAN USERA                              ,26000,11.0,CALLE DEL ALFÉREZ JUAN USERA                                   
2188,CALLE                   ,DE    ,ALFONSO CEA                                     ,26300,10.0,CALLE DE ALFONSO CEA                                           
2189,CALLE                   ,DE    ,ALFONSO FERNANDEZ                               ,26400,11.0,CALLE DE ALFONSO FERNÁNDEZ                                     
2190,CALLE                   ,DE    ,ALFONSO FERNANDEZ CLAUSELLS                     ,26500,9.0,CALLE DE ALFONSO FERNÁNDEZ CLAUSELLS                           
2191,CALLE                   ,DE    ,ALFONSO GOMEZ                                   ,26600,20.0,CALLE DE ALFONSO GÓMEZ                                         
2192,CALLE                   ,DE    ,ALFONSO MARTINEZ CONDE                          ,26700,11.0,CALLE DE ALFONSO MARTÍNEZ CONDE                                
