,Codigo de via,Clase de la via,Particula de la via,Nombre de la via,Numero inicial del tramo,Numero final del tramo,Codigo postal
9641,308900,%CALLE%,DE LAS,%MADRES DE LA PLAZA DE MAYO%,2,9998,28017
9642,308901,%CALLE%,DE LAS,%MARISMAS%,1,9999,28038
9643,308901,%CALLE%,DE LAS,%MARISMAS%,2,9998,28038
9644,309000,%CALLE%,DE    ,%FRANCISCO ROMERO%,1,9999,28025
9645,309000,%CALLE%,DE    ,%FRANCISCO ROMERO%,2,9998,28025
9646,309100,%CALLE%,DE    ,%FRANCISCO RONQUILLO%,1,9999,28011
9647,309100,%CALLE%,DE    ,%FRANCISCO RONQUILLO%,2,9998,28011
9648,309200,%PLAZA%,DE    ,%FRANCISCO RUANO%,1,9999,28026
9649,309200,%PLAZA%,DE    ,%FRANCISCO RUANO%,2,9998,28026
9650,309300,%CALLE%,DE    ,%FRANCISCO RUIZ%,1,15,28026
9651,309300,%CALLE%,DE    ,%FRANCISCO RUIZ%,17,9999,28026
9652,309300,%CALLE%,DE    ,%FRANCISCO RUIZ%,2,16,28026
9653,309300,%CALLE%,DE    ,%FRANCISCO RUIZ%,18,9998,28026
9654,309400,%CALLE%,DE    ,%FRANCISCO SALAS%,1,9999,28039
9655,309400,%CALLE%,DE    ,%FRANCISCO SALAS%,2,9998,28039
9656,309650,%CALLE%,DE    ,%FRANCISCO SANCHA%,1,9999,28034
9657,309650,%CALLE%,DE    ,%FRANCISCO SANCHA%,2,9998,28034
9658,309800,%CALLE%,DE    ,%FRANCISCO SANFIZ%,1,9999,28023
9659,309800,%CALLE%,DE    ,%FRANCISCO SANFIZ%,2,9998,28023
9660,309900,%CALLE%,DE    ,%FRANCISCO SANTOS%,1,9999,28028
9661,309900,%CALLE%,DE    ,%FRANCISCO SANTOS%,2,9998,28028
9662,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,1,87,28028
9663,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,89,97,28002
9664,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,99,9999,28002
9665,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,2,50,28028
9666,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,52,86,28028
9667,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,88,108,28002
9668,310200,%CALLE%,DE    ,%FRANCISCO SILVELA%,110,9998,28002
9669,310300,%CALLE%,DE    ,%FRANCISCO SUAREZ%,1,9999,28036
9670,310300,%CALLE%,DE    ,%FRANCISCO SUAREZ%,2,9998,28036
9671,310400,%CALLE%,DE    ,%FRANCISCO DE TEJADA%,1,9999,28011
9672,310400,%CALLE%,DE    ,%FRANCISCO DE TEJADA%,2,9998,28011
9673,310500,%CALLE%,DE    ,%FRANCISCO VILLAESPESA%,1,53,28017
9674,310500,%CALLE%,DE    ,%FRANCISCO VILLAESPESA%,55,9999,28017
