Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Codigo postal;Seccion de carteria
774;CALLE                   ;DEL   ;CALENDARIO                                      ;impar;NUM;1;  ;9999;  ;28022;N/D
774;CALLE                   ;DEL   ;CALENDARIO                                      ;par  ;NUM;2;  ;9998;  ;28022;N/D
775;PLAZA                   ;DEL   ;VERANO                                          ;impar;NUM;1;  ;9999;  ;28022;N/D
775;PLAZA                   ;DEL   ;VERANO                                          ;par  ;NUM;2;  ;9998;  ;28022;N/D
776;AVENIDA                 ;      ;FIN DE SEMANA                                   ;impar;NUM;1;  ;9999;  ;28022;N/D
776;AVENIDA                 ;      ;FIN DE SEMANA                                   ;par  ;NUM;2;  ;9998;  ;28022;N/D
777;AVENIDA                 ;DEL   ;INVIERNO                                        ;impar;NUM;1;  ;9999;  ;28022;N/D
777;AVENIDA                 ;DEL   ;INVIERNO                                        ;par  ;NUM;2;  ;9998;  ;28022;N/D
778;PLAZA                   ;DE    ;JUAN DE LA COSSA                                ;impar;NUM;1;  ;9999;  ;28016;N/D
778;PLAZA                   ;DE    ;JUAN DE LA COSSA                                ;par  ;NUM;2;  ;9998;  ;28016;N/D
779;CALLE                   ;DE    ;DOÑA JUANA I DE CASTILLA                        ;impar;NUM;1;  ;9999;  ;28027;N/D
779;CALLE                   ;DE    ;DOÑA JUANA I DE CASTILLA                        ;par  ;NUM;2;  ;9998;  ;28027;N/D
780;CALLE                   ;DEL   ;DOCTOR ZAMENHOF                                 ;impar;NUM;1;  ;9999;  ;28027;N/D
780;CALLE                   ;DEL   ;DOCTOR ZAMENHOF                                 ;par  ;NUM;2;  ;9998;  ;28027;N/D
781;PLAZA                   ;DE    ;RODOLFO Y ERNESTO HALFFTER                      ;impar;NUM;1;  ;9999;  ;28002;N/D
781;PLAZA                   ;DE    ;RODOLFO Y ERNESTO HALFFTER                      ;par  ;NUM;2;  ;9998;  ;28002;N/D
782;PLAZA                   ;DE    ;JOAQUIN RODRIGO                                 ;impar;NUM;1;  ;9999;  ;28002;N/D
782;PLAZA                   ;DE    ;JOAQUIN RODRIGO                                 ;par  ;NUM;2;  ;9998;  ;28002;N/D
783;CALLE                   ;DEL   ;RISCO DE LOS CLAVELES                           ;impar;NUM;1;  ;9999;  ;28023;N/D
783;CALLE                   ;DEL   ;RISCO DE LOS CLAVELES                           ;par  ;NUM;2;  ;9998;  ;28023;N/D
784;CALLE                   ;DEL   ;PICO OCEJON                                     ;impar;NUM;1;  ;9999;  ;28023;N/D
784;CALLE                   ;DEL   ;PICO OCEJON                                     ;par  ;NUM;2;  ;9998;  ;28023;N/D
785;CALLE                   ;DE LAS;CINCO LAGUNAS                                   ;impar;NUM;1;  ;9999;  ;28023;N/D
785;CALLE                   ;DE LAS;CINCO LAGUNAS                                   ;par  ;NUM;2;  ;9998;  ;28023;N/D
786;CALLE                   ;DEL   ;PICO DE LA MIEL                                 ;impar;NUM;1;  ;9999;  ;28023;N/D
786;CALLE                   ;DEL   ;PICO DE LA MIEL                                 ;par  ;NUM;2;  ;9998;  ;28023;N/D
787;CALLE                   ;DE    ;JOSE BARDASANO BAOS                             ;impar;NUM;1;  ;9999;  ;28016;N/D
787;CALLE                   ;DE    ;JOSE BARDASANO BAOS                             ;par  ;NUM;2;  ;9998;  ;28016;N/D
788;CALLE                   ;DE    ;CALELLA                                         ;impar;NUM;1;  ;9999;  ;28038;N/D
788;CALLE                   ;DE    ;CALELLA                                         ;par  ;NUM;2;  ;9998;  ;28038;N/D
789;CALLE                   ;DE    ;TOSSA                                           ;impar;NUM;1;  ;9999;  ;28038;N/D
789;CALLE                   ;DE    ;TOSSA                                           ;par  ;NUM;2;  ;9998;  ;28038;N/D
790;CALLE                   ;DE    ;MALGRAT DE MAR                                  ;impar;NUM;1;  ;9999;  ;28038;N/D
790;CALLE                   ;DE    ;MALGRAT DE MAR                                  ;par  ;NUM;2;  ;9998;  ;28038;N/D
791;TRAVESIA                ;DE    ;HUMANES                                         ;impar;NUM;1;  ;9999;  ;28038;N/D
791;TRAVESIA                ;DE    ;HUMANES                                         ;par  ;NUM;2;  ;9998;  ;28038;N/D
792;CALLE                   ;DE    ;TORREPEROGIL                                    ;impar;NUM;1;  ;9999;  ;28053;N/D
792;CALLE                   ;DE    ;TORREPEROGIL                                    ;par  ;NUM;2;  ;9998;  ;28053;N/D
793;CALLE                   ;DE    ;HUESA                                           ;impar;NUM;1;  ;9999;  ;28053;N/D
